debate,character,text
2A,Tapper, Governor Hickenlooper?
2A,John Hickenlooper, Thank you. And what a night. I've loved it.
2A,John Hickenlooper,"I'd like to ask every American to imagine that you are facing life-threatening surgery tomorrow. Would you choose a doctor who h a track record of proven success, who'd actually done the work, or someone who h just talked about it? That's the question we're facing in this primary."
2A,John Hickenlooper,"I've actually got a track record as small-business owner, as a mayor, and as a governor. We expanded health care in Coloro. We got near universal coverage. We fought climate change directly. We beat the NRA. And for the last three years, we've been the number-one economy in the country. We can wrap all that out."
2A,John Hickenlooper,"I'm as progressive as anybody up on this stage, but I'm also pragmatic. And I've done the things that most of these other people are just talking about. And I know I can get results. And I can le the people of this country towards a stronger, a healthier, and a more secure future, and defeat Donald Trump and return this country to its glory."
2A,John Hickenlooper,Thank you.
2A,Tapper, Senator Klobuchar?
2A,Amy Klobuchar," Well, thank you, Detroit. To win, we have to listen to people. And out there today is Casey Jo's mom. Casey Jo was a champion high school swimmer from a small town. She got sick, went to the emergency room, and got hooked on opioids. The last thing that she said to her mom was, ""Mama, it's not my fault."" And she died."
2A,Amy Klobuchar,A lot of Americans say the same thing every day. And that is what I will stand up for and what I will stand up against are companies like those pharma companies that got her hooked on those opioids and didn't tell the doctors or the patients what was going to happen.
2A,Amy Klobuchar,We need someone that has people's back. We also need someone that can win. And I have won in these red districts. I win in the Midwest. I can win in states like Wisconsin and Michigan and Iowa.
2A,Amy Klobuchar,"I also will do my job without fear or favor, just like I did as a prosecutor, and get through the gridlock like I've done as a senator, where I've passed over 100 bills where I've been the le Democrat."
2A,Amy Klobuchar,"And last, yes, I will govern with integrity. We have a president where people turn off their TV when they see him. Not me. I will make you proud as your president."
2A,Tapper, Congressman O'Rourke?
2A,Beto O'Rourke," We are as divided and polarized as a country as we have ever been. And right now we have a president who uses fear to try to drive us further apart. To meet this challenge, we have to have hope in one another and a faith in a future of the country that includes everyone."
2A,Beto O'Rourke,"My whole life, I've been including people in the success of this country, starting a small business with high-value, high-wage, high-skilled jobs in the third poorest urban county in America, serving on City Council and holding town hall meetings every single week to remind myself who it is that I serve at the end of the day, and in Congress, being in the minority but working with Democrats and Republicans alike to deliver for my constituents and this country."
2A,Beto O'Rourke,"And then in Texas, this last year, traveling to every county, not writing anybody off, not taking anyone for granted, and at the end of the day, winning more votes than any Democrat h in the history of the state, winning independents for the first time in deces, and winning nearly half-a-million Republicans, and those 38 Electoral College votes in Texas are now in play and I can win them."
2A,Beto O'Rourke,That is how we defeat Donald Trump in November of 2020 and how we bring this divided country together again in January of 2021. Thank you.
2A,Tapper, Mayor Buttigieg?
2A,Steve Bullock, There's good news and b news. I'm going to start with the b news. Our country is in trouble. GDP is going up and life expectancy is going down. Think about what that means. And it's only getting tougher.
2A,Steve Bullock,"By 2030, we will have passed the point of no return on climate, there are going to be 130 million more guns on our streets. I'll be in my forties then. If you have kids, think about how old they will be then."
2A,Steve Bullock,"But here's the good news It's not too late. We can tell our kids that before we ran out of time, just before we ran out of time, in 2020, we did what it took to deliver a climate that we didn't have to wonder if it could support us, to deliver a society where race has no bearing on your health or your wealth or your relationship with law enforcement, that we did what it took to deliver an economy where a rising tide actually does lift all boats."
2A,Steve Bullock,"We can do this, if and only if we are rey to walk away from what hasn't worked with bold action and win, not only defeat this president, but defeat his congressional allies with a defeat so big that it reunites the Republican Party with its conscience as well as bringing Democrats to office."
2A,Steve Bullock,"Join me, and let's make it happen."
2A,Steve Bullock,(APPLAUSE)
2A,Elizabeth Warren," From the time I was 7 years old, I h a dream. I wanted to be a public schoolteacher. But my ddy ended up as janitor. And by the time I gruated from high school, my family didn't have the money to send me off to college. My big chance was what was then a commuter college that cost $50 a semester."
2A,Elizabeth Warren,"For me, what this election is all about is opportunity. Every budget, every policy that we talk about is about who's going to get opportunity. Is it going to go to the billionaires? Or is it going to go to our kids?"
2A,Elizabeth Warren,"Right now, for deces, we have h a government that has been on the side of the rich and the powerful. It has been on the side of the wealthy. And that means it has not been on the side of everyone else, not on the side of people living on our Native American reservations, people living in inner cities, people living in small farms, and small communities across this country."
2A,Elizabeth Warren,"How do we beat it? We beat it by being the party of big, structural change. Give people a reason to show up and vote. And we beat it by building a grassroots movement across this country, not showing up behind closed doors with millionaires, but actually building it person by person across this country, with small-dollar donations, with volunteers, with people who show up and say, ""I have a stake in this democracy."""
2A,Elizabeth Warren,"I will not only beat Donald Trump in 2020, I'll start to make real change come 2021."
2A,Bernie Sanders," As somebody who grew up in family that lived in a rent-controlled apartment in Brooklyn, New York, and lived paycheck to paycheck, I'm running for president not just to defeat the most dangerous president in the history of this country, a guy who's a racist and a sexist and a homophobe. I'm running to transform this country and to stand with the working class of America, which for the last 45 years has been decimated."
2A,Bernie Sanders,"Two days ago, I h a remarkable experience which should tell you everything you need to know about what's going on in America. I took 15 people with diabetes from Detroit a few miles into Cana, and we bought insulin for one-tenth the price being charged by the crooks who run the pharmaceutical industry in America today."
2A,Bernie Sanders,But it's not just the price-fixing and the corruption and the greed of the pharmaceutical industry. It's what's going on in the fossil fuel industry. It's what's going on in Wall Street. It's what's going on with the prison industrial complex.
2A,Bernie Sanders,"We need a mass political movement. Please go to berniesanders.com. Become one of our million volunteers. Stand up and take on the greed and corruption of the ruling class of this country. Let’s create a government and an economy that works for all of us, not just the 1 percent."
2A,Tapper," Candidates, thank you so much. That completes tonight's debate. Join us tomorrow night at 8:00 p.m. Eastern time for round two, 10 more Democratic candidates for president, right back here in Detroit."
2A,Tapper,Now stay tuned for special coverage of tonight’s debate with Anderson Cooper and Chris Cuomo. That begins right now.
2B,Tapper," An enthusiastic audience at the historic Fox Theatre in downtown Detroit, Michigan. Welcome to our viewers in the United States and around the world watching us on CNN, CNN International, CNN en Espanol, CNN.com, and listening on SiriusXM and the Westwood One Radio Network."
2B,Tapper,"This is the CNN Democratic presidential debate. And a special welcome to the U.S. military members, diplomatic corps, and their families serving overseas and watching on the American Forces Network."
2B,Tapper,"I'm Jake Tapper, anchor of ""The Lead"" and ""State of the Union,"" along with CNN's chief political correspondent Dana Bash and Don Lemon, anchor of ""CNN Tonight."""
2B,Bash, The 20 Democratic presidential candidates were divided into two groups by random draw earlier this month. The first 10 appeared last night. Now it's time for the second 10.
2B,Lemon," Please welcome, from Delaware, former Vice President Joe Biden."
2B,Lemon,(APPLAUSE)
2B,Lemon,"From California, Senator Kamala Harris."
2B,Kamala Harris," Hey, Joe."
2B,Joe Biden," Go easy on me, kid."
2B,Kamala Harris, How you doing? You good?
2B,Joe Biden, I'm good.
2B,Lemon," From New Jersey, Senator Cory Booker."
2B,Lemon," From New York, businessman Andrew Yang."
2B,Lemon,"From Texas, former Secretary of Housing and Urban Development Julian Castro."
2B,Lemon," From Hawaii, Congresswoman Tulsi Gabbard."
2B,Lemon,"From New York, Senator Kirsten Gillibrand."
2B,Lemon,"From Washington state, Governor Jay Inslee."
2B,Lemon,"From Colorado, Senator Michael Bennet."
2B,Lemon,"From New York City, Mayor Bill de Blasio."
2B,Lemon,"Ladies and gentlemen, the Democratic candidates for president of the United States."
2B,Lemon,"Now please rise for the presentation of colors from the James Europe VFW Post 2233 and the District Four Honor Guard. And please remain standing for our national anthem, performed by Grammy and Tony Award-winning singer Dee Dee Bridgewater, who was raised in Flint, Michigan."
2B,Bridgewater, (sings National Anthem)
2B,Lemon, The debate will begin right after this short break.
2B,Lemon,(COMMERCIAL BREAK)
2B,Tapper," Welcome back to the CNN Democratic presidential debate. Candidates, we're about to begin opening statements. But first, a quick review of the ground rules that your campaigns agreed to earlier this month to try to ensure a fair debate."
2B,Tapper,"As moderators, we will attempt to guide the discussion. You will each receive one minute to answer questions, 30 seconds for responses and rebuttals, and 15 additional seconds if a moderator asks for a clarification. The timing lights will remind you of these limits. Please respect them, and please refrain from interrupting other candidates during their allotted time. A candidate infringing on another candidate's time will have his or her time reduced."
2B,Tapper,"We, again, remind our audience inside the Fox Theatre to try to remain silent when candidates are actively debating. The candidates need to be able to properly hear the questions and each other."
2B,Bash," Let's start with opening statements. You will each receive one minute. Mayor Bill de Blasio, please begin."
2B,Bill De Blasio," To the working people of America, tonight I bring you a message of hope. We can make change in this country. I know from personal experience it can be done."
2B,Bill De Blasio,"When I became the mayor of the nation's largest city, I set us on a path of bold change. They said it couldn't be done, but we gave pre-K to every child for free. We got rid of stop-and-frisk and we lowered crime. We raised the minimum wage to $15 an hour. Yes, it can be done."
2B,Bill De Blasio,"Now, tonight we have to get to the heart and soul of who we are as Democrats. There are good people on this stage, but there are real differences."
2B,Bill De Blasio,"Joe Biden told wealthy donors that nothing fundamentally would change if he were president. Kamala Harris said she's not trying to restructure society. Well, I am."
2B,Bill De Blasio,"For 40 years, working people have taken it on the chin in this country. For 40 years, the rich have gotten richer and they've paid less and less in taxes. It cannot go on this way. When I'm president, we will even up the score and we will tax the hell out of the wealthy to make this a fairer country and to make sure it's a country that puts working people first."
2B,Protestor, (OFF-MIKE)
2B,Bash," Thank you, Mayor de Blasio. Senator Michael Bennet?"
2B,Michael Bennet," Thank you. Last week, I saw one of those Trump signs that says, ""America, love it or leave it."" And it was on the outside of a church."
2B,Michael Bennet,I love America. And I know we can make it better.
2B,Michael Bennet,Before coming to the Senate I ran (inaudible) school district where most of the kids live in poverty. Those kids have exactly the same hopes that I had.
2B,Michael Bennet,"Their parents have exactly the same hopes for them that my parents had for me, and that Susan and I have for our three children. But for the last three years, we've been consumed by a president who frankly doesn't give a damn about your kids or mine. Mr. President; kids belong in classrooms, not cages."
2B,Michael Bennet,(APPLAUSE)
2B,Michael Bennet,"And they deserve something better than a bully in the White House. Let's end this three ringed circus in Washington and make -- and let's make this election about reclaiming our future for our kids and our democracy. Empty promises won't beat Donald Trump, I can."
2B,Bash, Governor Jay Inslee.
2B,Jay Inslee, Good evening. I'm Jay Inslee. I am running for president because the people in this room and the democrats watching tonight are the last best hope for humanity on this planet.
2B,Jay Inslee,"If -- if we make defeating the climate crisis the top priority of the United States, we will have a fighting chance to save ourselves and our children's future. It has to be our top priority. My plan is one of national mobilization, quickly bringing 100 percent clean energy to Americans, creating 8 million good union jobs."
2B,Jay Inslee,"This is a big, bold, ambitious plan for clean energy for a big bold ambitious nation. Middle ground approaches are not enough. We must confront the fossil fuel industry. I've been working on this for 25 years."
2B,Jay Inslee,"And now we know this, we are at tipping point and whether we shrink from this challenge or rise to it is the vital question of our time. We democrats believe we can still do big things in this nation. We can defeat the climate crisis. Let's get to work."
2B,Jay Inslee,(APPLAUSE)
2B,Bash, Senator Kirsten Gillibrand.
2B,Kirsten Gillibrand, My grandmother taught me that nothing's impossible. She spent two generations organizing women in upstate New York. My mother taught me nothing's impossible. She was one of only three women in her law school class and worked with gay couples for basic rights.
2B,Kirsten Gillibrand,"If you want to get something done, just tell me it's impossible. As a freshman senator I was told you couldn't repeal Don't Ask, Don't Tell. Even members of my own party told me it wasn't convenient. When are civil rights ever convenient?"
2B,Kirsten Gillibrand,"We stood up to the Pentagon and we got it done. Not impossible. 10 years ago I was told you couldn't pass healthcare for our 9/11 first responders, those heroes who raced up the towers when others were coming down."
2B,Kirsten Gillibrand,"Even when Congress turned its back on them, we kept fighting. Just last week we made the 9/11 health bill permanent."
2B,Kirsten Gillibrand,(APPLAUSE)
2B,Kirsten Gillibrand,Beating Donald Trump definitely not impossible. We need a nominee who will take on the big fights and win. We need a nominee who doesn't know the meaning of impossible.
2B,Bash, Congresswoman Tulsi Gabbard.
2B,Bash,(APPLAUSE)
2B,Tulsi Gabbard," I love our country. It's why I enlisted after 9/11, why I've served as a soldier for over 16 years, deployed twice to the Middle East, and serve in Congress now for almost seven years."
2B,Tulsi Gabbard,"I know what patriotism is and I've known many great patriots throughout my life. And let me tell you this, Donald Trump is not behaving like a patriot. As president I will bring this spirit of real patriotism to the White House, serving the interest of all Americans, not just the rich and powerful."
2B,Tulsi Gabbard,"I'll fight for our rights and freedoms of all Americans, upholding these principles in our constitution upon which our country was founded, fighting for justice and equality for all. Fighting for every single American regardless of race or religion as we strive towards that more perfect union."
2B,Tulsi Gabbard,"And as president I'll bring this unifying spirit of love for country and the soldier's values of service above self to the White House, truly leading a government of by and for the people."
2B,Bash, Secretary Julian Castro.
2B,Julián Castro," Thank you, Dana, and good evening."
2B,Julián Castro,"You know, just a few days ago we were reminded and inspired by our fellow Americans in Puerto that public service is not fundamentally about any of us; it's about you and your family."
2B,Julián Castro,"I want you to know that, if I'm elected president, that I will work hard every single day so that you and your family can have good health care when you need it, so that your children and grandchildren can get a good education so that they can reach their dreams and that you can have good job opportunities, whether you live here in a big city like Detroit or in a small town in our country."
2B,Julián Castro,"I know we have a wonderful, special nation but that too many people are struggling. And I know what that's like, too. You know, I grew up with a single mom in a poor neighborhood. But like many of you, I don't want to make America anything again. I don't want us to go backward. We're not going back to the past. We're not going back where we came from. We're going to move forward. We're going to make America better than it's ever been in the years to come. Let's do that together."
2B,Julián Castro,(APPLAUSE)
2B,Bash, Andrew Yang?
2B,Andrew Yang," If you've heard anything about me and my campaign, you've heard that someone is running for president who wants to give every American $1,000 a month. I know this may sound like a gimmick, but this is a deeply American idea, from Thomas Paine to Martin Luther King to today."
2B,Andrew Yang,"Let me tell you why we need to do it and how we pay for it. Why do we need to do it? We already automated away millions of manufacturing jobs, and chances are your job can be next. If you don't believe me, just ask an auto worker here in Detroit."
2B,Andrew Yang,"How do we pay for it? Raise your hand in the crowd if you've seen stores closing where you live. It is not just you. Amazon is closing 30 percent of America's stores and malls and paying zero in taxes while doing it. We need to do the opposite of much of what we're doing right now, and the opposite of Donald Trump is an Asian man who likes math."
2B,Andrew Yang,(APPLAUSE)
2B,Andrew Yang,"So let me share the math. A thousand dollars a month for every adult would be $461 million every month, right here in Detroit alone. The automation of our jobs is the central challenge facing us today. It is why Donald Trump is our president, and any politician not addressing it is failing the American people."
2B,Bash, Senator Cory Booker?
2B,Cory Booker," Thank you, Dana."
2B,Cory Booker,"Last week the president of the United States attacked an American city, calling it ""a disgusting, rat-infested rodent mess."""
2B,(Unknown), (inaudible)
2B,Cory Booker," We need a nation that understands that this tired old language, the..."
2B,(Unknown), (chanting) (ph)
2B,Lemon," Stand by, Senator."
2B,Cory Booker, I will stand by.
2B,Lemon, Please stand by.
2B,(Unknown),(APPLAUSE)
2B,Lemon," Please, continue, Senator."
2B,Cory Booker, Thank you very much.
2B,Cory Booker,"Donald Trump, from Charleston to Baltimore to even the border, is using the tired, old language of demagogues, of fear-mongers, of racists, to try to divide our country against itself. We know who Donald Trump is, but in this election, the question is who are we as a people?"
2B,Cory Booker,"We have serious problems in America. We have deep wounds and seriously deeply rooted challenges. We desperately need to heal as a nation and move forward. Because we know in this country that our fates are united, that we have a common destiny. The call of this election is the call to unite in common cause and common purpose. That's how we will beat Donald Trump. That's how I will beat Donald Trump. And as your president, that's how I will govern and move us forward together."
2B,Cory Booker,(APPLAUSE)
2B,Bash, Senator Kamala Harris?
2B,Kamala Harris," This is an inflection moment in the history of our country. I think we all know that. This is a moment in time that is requiring us each as individuals and collectively to look in a mirror and ask a question, that question being ""Who are we?"""
2B,Kamala Harris,"And I think most of us know that part of the answer to that question is we are better than this. So this then becomes a moment that we must fight for the best of who we are. And fight, of course, we will."
2B,Kamala Harris,And this is not a new fight for us as Americans. We have always been prepared to fight for our ideals. We have always been a nation that fights for the best of who we are.
2B,Kamala Harris,"And I'll tell you, I come from fighters. My parents met when they were active in the civil rights movement. My sister, Maya, and I joke we grew up surrounded by a bunch of adults who spent full time marching and shouting about this thing called justice."
2B,Kamala Harris,"And I am prepared to march with you, to fight with you for the best of who we are and to successfully prosecute the case of four more years of Donald Trump, and against him."
2B,Kamala Harris,(APPLAUSE)
2B,Bash, Vice President Joe Biden.
2B,Joe Biden," Tonight, I think Democrats are expecting some engagement here. And I expect we'll get it."
2B,Joe Biden,"I'm running for president to restore the soul of this country. You know, we have a president, as everybody has acknowledged here, every day is ripping at the social fabric of this country, but no one man has the capacity to rip that apart. It's too strong. We're too good."
2B,Joe Biden,"Just look at this stage, made up of very diverse people from diverse backgrounds, went on to be mayors, senators, governors, congresswomen, members of the cabinet, and, yes, even a vice president."
2B,Joe Biden,"Mr. President, this is America. And we are stronger and great because of this diversity, Mr. President, not in spite of it, Mr. President."
2B,Joe Biden,(APPLAUSE)
2B,Joe Biden," So, Mr. President, let's get something straight We love it. We are not leaving it. We are here to stay. And we're certainly not going to leave it to you."
2B,Bash," Thank you, Vice President Biden. I want to start the debate with one of the top priorities for Democratic voters, and that is health care."
2B,Bash,"Senator Harris, this week you released a new health care plan which would preserve private insurance and take 10 years to phase in. Vice President Biden's campaign calls your plan, quote, ""a have-it-every-which-way approach"" and says it's just part of a confusing pattern of equivocating about your health care stance. What do you say to that?"
2B,Kamala Harris," Well, they're probably confused because they've not read it. But the reality is that I have been spending time in this campaign listening to American families, listening to experts, listening to health care providers, and what I came away with is a very clear understanding that I needed to create a plan that was responsive to the needs of the American people, responsive to their needs understanding that insurance companies have been jacking up the prices for far too long, that American families have to be held down by deductibles and co-pays and premiums that can cause them bankruptcy."
2B,Kamala Harris,"I listened to the American families who said four years is just not enough to transition into this new plan, so I devised a plan where it's going to be 10 years of a transition."
2B,Kamala Harris,"I listened to American families who said I want an option that will be under your Medicare system that allows a private plan. So I designed a plan where, yes, responsive to the needs of American families, there will be a public plan, under my plan for Medicare, and a private plan, under my plan for Medicare."
2B,Kamala Harris,"Because the bottom line is this We must agree that access to health care must be a right and not just a privilege of those who can afford it. And in America today, far too many people -- in fact, 30 million people -- are going without access to health care."
2B,Bash," Thank you, Senator. Thank you, Senator Harris. Vice President Biden, your response."
2B,Joe Biden," Well, my response is that the senator has had several plans so far. And any time someone tells you you're going to get something good in 10 years, you should wonder why it takes 10 years."
2B,Joe Biden,"If you noticed, there is no talk about the fact that the plan in 10 years will cost $3 trillion. You will lose your employer-based insurance. And in fact, you know, this is the single most important issue facing the public. And to be very blunt and to be very straightforward, you can't beat President Trump with double-talk on this plan."
2B,Bash," Your response, Senator Harris?"
2B,Kamala Harris," Absolutely. Unfortunately, Vice President Biden, you're just simply inaccurate in what you're describing. The reality is that our plan will bring health care to all Americans under a Medicare for All system."
2B,Kamala Harris,"Our plan will allow people to start signing up on the first day. Babies will be born into our plan, and right now, 4 million babies almost are born every day in America -- or every year in America. Under our plan, we will ensure that everyone has access to health care."
2B,Kamala Harris,"Your plan, by contrast, leaves out almost 10 million Americans. So I think that you should really think about what you're saying, but be reflective and understand that the people of America want access to health care and do not want cost to be their barrier to getting it."
2B,Bash," Senator Harris, thank you. Vice President Biden, your response?"
2B,Joe Biden," The plan, no matter how you cut it, costs $3 trillion when it is, in fact, employed, number one. Ten years from now, after two terms of the senator being president, after her time."
2B,Joe Biden,"Secondly, it will require middle-class taxes to go up, not down. Thirdly, it will eliminate employer-based insurance. And fourthly, what happens in the meantime?"
2B,Kamala Harris," I'd like to respond. First of all, the cost of doing nothing is far too expensive. Second, we are now paying $3 trillion a year for health care in America. Over the next 10 years, it's probably going to be $6 trillion. We must act."
2B,Kamala Harris,"My plan is about immediately allowing people to sign up and get into coverage. Right now in America, we have seniors, who every day -- millions of seniors are going into the Medicare system and they are getting full coverage and the kind of coverage they need. All people should have access to health care. And costs should not be their barrier."
2B,Bash," Thank you, Senator Harris."
2B,Bash,"Mayor de Blasio, let's bring you in here. What's your response?"
2B,Bill De Blasio, Thank you. I don't know what the vice president and the senator are talking about. The folks I talk to about health insurance say that their health insurance isn't working for them.
2B,Bill De Blasio,"There's tens of millions of Americans who don't even have health insurance, tens of millions more who have health insurance they can barely make work because of the co-pays, the deductibles, the premiums, the out-of-pocket expenses."
2B,Bill De Blasio,"There's this mythology that somehow all of these folks are in love with their insurance in America. What I hear from union members and from hard-working, middle-class people is they wish they had better insurance and they're angry at private insurance companies that skim all the profits off the top and make it impossible for everyday people to get coverage like mental care..."
2B,Bash," Thank you, Mr. Mayor."
2B,Bill De Blasio," ... dental care, the things that would be full coverage for all Americans."
2B,Bash,"Vice President Biden, you just heard Mayor de Blasio. He said in the past that Democrats who wanted to keep the private insurance industry are defending a health care system that is not working. What's your response?"
2B,Joe Biden," My response is, Obamacare is working. The way to build this and get to it immediately is to build on Obamacare. Go back and do -- take back all the things that Trump took away, provide a public option, meaning every single person in America would be able to buy into that option if they didn't like their employer plan, or if they're on Medicaid, they'd automatically be in the plan."
2B,Joe Biden,"It would take place immediately. It would move quickly. And it would insure the vast, vast, vast majority of Americans."
2B,Joe Biden,"In the meantime, what happens? Did anybody tell you how much their plans cost? My plan costs $750 billion. That's what it costs. Not $30 trillion."
2B,Bash," Thank you, Mr. Vice President. Senator Gillibrand, you support Medicare for All. How do you feel about Senator Harris continuing to call her health proposal Medicare for All, when it includes a far more significant role for private insurance than the bill you co-sponsored?"
2B,Kirsten Gillibrand," I think for the viewers in the audience right now, they're at risk of losing the forest through the trees, because the truth is, health care in America should be a right."
2B,Kirsten Gillibrand,"When I was a young mother and had Theo as an infant, he had an allergic reaction to eggs and his whole body turned red and puffy. I had to rush him to the emergency room. My heart is palpitating because I'm worried that his throat will close. I am not worried about not having an insurance card or a credit card in my wallet. I know whatever they're going to prescribe, whether it's an EpiPen or an inhaler, I can afford it."
2B,Kirsten Gillibrand,"The truth about health care in America today is people can't afford it. They cannot afford -- and the insurance companies for these plans that rely on insurance companies, I'm sorry, they're for-profit companies. They have an obligation to their shareholders. They pay their CEO millions of dollars. They have to have quarterly profits."
2B,Kirsten Gillibrand,They have fat in the system that's real and it should be going to health care. So let's not lose the forest for the trees.
2B,Kirsten Gillibrand,"And last, let's not forget what the Republicans are doing, because the truth is, the Republicans and Trump, their whole goal is to take away your health care."
2B,Bash, Thank you.
2B,Kirsten Gillibrand," To make it harder for you to afford it, even if you have pre-existing conditions."
2B,Bash," Thank you, Senator Gillibrand. Senator Harris, your response?"
2B,Kamala Harris," In response to Senator Biden about the Affordable Care Act, it is important that you understand that our Medicare for All plan has actually by the architect of the Obama Affordable Care Act been described as one of the most effective ways to bring health care to all. Kathleen Sebelius has endorsed our plan as being something that will get us to where we need to go."
2B,Kamala Harris,"In terms of the point that Senator Gillibrand is raising, I couldn't agree more. Senator Biden, your plan will keep and allow insurance companies to remain with status quo, doing business as usual, and that's going to be about jacking up co-pays, jacking up deductibles..."
2B,Bash," Thank you, Senator."
2B,Kamala Harris, It will still be the situation that people going to an emergency room...
2B,Bash," Thank you, Senator Harris. Vice President Biden, your response?"
2B,Kamala Harris," ... have to come out $5,000."
2B,Joe Biden," My plan makes a limit of co-pay to be $1,000, because we further support the -- the ability to buy into the Obamacare plan."
2B,Joe Biden,"Secondly, the idea that this is somehow a bad idea, no one has to keep their private insurance, but they - if they like their insurance, they should be able to keep it. Nothing is demanded in my plan that there be private insurance."
2B,Joe Biden,"It says, if the 160 million who have it say they like their employer insurance, they should have a right to have it. If they don't, they can buy into the Biden plan, which is Obamacare with -"
2B,Bash," Thank you, Mr. Vice President. Thank you. Senator Booker, let me bring you in here. You say you support Medicare for All. You also say you are not going to pull private health insurance from more than 150 million Americans in exchange for a government plan, but that's what Medicare for All would do."
2B,Bash,So how do you square that?
2B,Cory Booker," Well, first of all, let me just say, that the person that's enjoying this debate most right now is Donald Trump, as we pit Democrats against each other, while he is working right now to take away Americans' healthcare. There is a court case working through the system that's going to gut the Affordable Care Act and actually gut protections on preexisting conditions."
2B,Cory Booker,"And so, I was raised by two civil rights parents who told me, always keep your eyes on the prize. And that is that in the United States of America, every Democrat should stand with the belief that everyone should have access to healthcare, that it's a human right. And how we get there, it has to be to end this broken system, because we are on our way, just a handful of years of literally spending 20 percent of our economy, one out of every $5 spent on healthcare."
2B,Cory Booker,"And we spend more than every other nation, on everything from MRIs to insulin drugs, multiple mores than other countries - multiple more than other countries. And so, do you want to know what I'm going to do? I'm going to work to get us to a point where Medicare for All - where everyone is covered."
2B,Cory Booker,"But this pitting against progressives against moderates, saying one is unrealistic and the other doesn't care enough, that to me is dividing our party and demoralizing us in face of the real enemy here. And I'm -"
2B,Cory Booker, - going to keep fighting for that.
2B,Bash," Congressman Gabbard, what's your response?"
2B,Tulsi Gabbard," The reality is right now, we don't have a healthcare system. We have a sick care system, and there are far too many people in this country who are sick and unable to get the care that they need because they cannot afford it. So the core of this problem is the fact that big insurance companies and big pharmaceutical companies who've been profiting off the backs of sick people have had a seat at the table, writing this legislation."
2B,Tulsi Gabbard,"Now, Kamala Harris just talked about Kathleen Sebelius who helped write her bill. This just pointed to the fatal flaw in her proposal. Sebelius works for Medicare Advantage, a private insurance company who will stand to profit under her plan. If we're seeking to really reform our healthcare system, we've got to shut out big insurance and big pharma out of the drafting process so they cannot continue to profit off the backs of the sick people in this country who are searching and in desperate need of care."
2B,Bash," Senior Harris, your response?"
2B,Kamala Harris," Well, unfortunately, Representative Gabbard got it wrong. Kathleen Sebelius did not write my plan; she endorsed it as being one of the plans that is the best to get us to a place where everyone is going to have access to healthcare in America. And when we talk about this again, I'm going to back to Vice President Biden, because your plan does not cover everyone in America."
2B,Kamala Harris,"By your staffs and your own definition, 10 million people - as many as 10 million people will not have access to healthcare. And in 2019 in America, for a Democrat to be running for president with a plan that does not cover everyone, I think is without excuse. Our plan covers everyone -"
2B,Kamala Harris, - and gives people choice
2B,Bash," Thank you, Senator. Vice President Biden, your response?"
2B,Joe Biden," My plan does - will cover everyone, number one. Number two, the fact is that my plan also calls for controlling drug prices. The biopharma is now where things are going to go. It's no longer chemicals. It's about all these breakthroughs that we have, with the whole (ph) - excuse me, immune system."
2B,Joe Biden,"And what we have to do now is we have to have a form that sits in HHS and says, as you develop a drug, you got to come to us and decide what you can sell it for. We will set the price. And secondly, it says that you cannot raise that price beyond the cost of inflation from this point on."
2B,Tapper," Thank you, Mr. Vice President. I want to bring in Senator Bennet. Last night, on this stage, one of your democratic rivals suggested that running on Medicare for All would get Donald Trump reelected."
2B,Michael Bennet," I agree that it makes it much more likely. Unlike others on this stage, I've been crystal clear of where I've been for a decade, through two tough races in Colorado. I believe we should finish the job we started with the Affordable Care Act with a public option that gives everybody in this audience the chance to pick for their family, whether they want private insurance or public insurance."
2B,Michael Bennet,"It requires the drug companies to be negotiated with by Medicare and it provides competition. That is totally different from the plan that Senator Warren and Senator Sanders and Senator Harris have proposed, which would make illegal employer based health insurance in this country and massively raise taxes on the middle class to the tune of $30 trillion."
2B,Michael Bennet,"As Joe Biden said, we don't need to do that. It doesn't make sense for us to take away insurance from half the people in this room and -- and put huge taxes on almost everybody in this room when we pass a public option, trust the American people to make the right decision, and have universal healthcare in this country in two years, not 10 years."
2B,Tapper," Thank you, Senator. Secretary Castro, I want to bring you in ..."
2B,Kamala Harris, I -- I need to respond.
2B,Tapper, Your response. I'll come to you right after Secretary Castro. Secretary Castro.
2B,Julián Castro," Well, I know that this is something very personal for all Americans. You know I grew up with a grandmother that had diabetes and I watched as her condition got worse and worse. That whole time she had Medicare."
2B,Julián Castro,I want to strengthen Medicare for the people who are on it and then expand it to anybody who wants it. I also believe thought that if somebody has a private health insurance plan that is strong that they want to hold on to that they should be able to do that.
2B,Julián Castro,"What I don't believe is that the profit motive of big pharma or big insurance companies should ever determine, in our great nation, whether somebody gets healthcare or not."
2B,Tapper," Thank you, Secretary Castro. Senator Harris, Senator Bennet had suggested that you support banning employer based health insurance. Is that true?"
2B,Kamala Harris," Well first of all, with all due respect to my friend, Michael Bennet, my plan does not offer anything that is illegal. What it does is it separates the employer from healthcare, meaning that where you work will not be a -- where -- the kind of healthcare you get will not be a function of where you work."
2B,Kamala Harris,"I have me met so many Americans who stick to a job that they do not like, where they are not prospering simply because they need the healthcare that that employer provides. It's time that we separate employers from the kind of healthcare people get and under my plan; we do that as it relates to the insurance and the pharmaceutical companies ...."
2B,Tapper," Thank you, Senator."
